Date,MAPL,MBO,SRS,Swan Reach-Mypolonga,Tailem Bend WTP,,,,,,,,,,
11/06/2019,200.8,235.03,66.28,0.75,4.43,,,,,,,,,,
12/06/2019,214.65,14.67,64.38,0.66,6.86,,,,,,,,,,
13/06/2019,170.02,100.34,0.65,0.69,2.27,,,,,,,,,,
14/06/2019,165.14,137.32,27.04,0.56,4.29,,,,,,,,,,
15/06/2019,204.61,82.51,35.7,0.6,4.36,,,,,,,,,,
16/06/2019,189,90.82,71.85,0.68,1.83,,,,,,,,,,
17/06/2019,172.65,21.52,82.75,0.62,7.25,,,,,,,,,,
18/06/2019,158.35,131.16,58.09,0.62,3.74,,,,,,,,,,
19/06/2019,125.56,10.57,31.07,0.55,5.81,,,,,,,,,,
20/06/2019,148.38,86.12,63.9,0.05,4.89,,,,,,,,,,
21/06/2019,184.08,193.43,56.48,0.59,4.36,,,,,,,,,,
22/06/2019,268.1,332.7,75.82,0.56,5.88,,,,,,,,,,
23/06/2019,314.07,318.21,81.39,0.5,2.41,,,,,,,,,,
24/06/2019,303.01,309.7,76.72,0.49,7.19,,,,,,,,,,
25/06/2019,316.69,308.16,44.38,0.41,1.57,,,,,,,,,,
26/06/2019,304.86,302.16,0,0.34,7.9,,,,,,,,,,
27/06/2019,311.52,351,24.27,0.3,4.77,,,,,,,,,,
28/06/2019,318.42,353.85,25.21,0.33,5.78,,,,,,,,,,
29/06/2019,340.28,354.54,19.61,0.29,5.75,,,,,,,,,,
30/06/2019,339.27,362.2,36.01,0.23,2.83,,,,,,,,,,
1/07/2019,340.59,352.99,31.91,0.28,5.53,,,,,,,,,,
2/07/2019,341.03,14.68,14.46,0.12,3.26,,,,,,,,,,
3/07/2019,267.73,0.02,19.41,0.27,6.07,,,,,,,,,,
4/07/2019,233.48,13.73,14.28,0.4,5.15,,,,,,,,,,
5/07/2019,223.22,8.35,17.94,0.32,5.23,,,,,,,,,,
6/07/2019,178.65,64.32,14.39,0.31,5.3,,,,,,,,,,
7/07/2019,184.7,24.5,35.0,0.3,6.0,,,,,,,,,,
8/07/2019,133.33,7.87,42.15,0.28,4.76,,,,,,,,,,
9/07/2019,139.58,9.88,19.02,0.3,4.64,,,,,,,,,,
10/07/2019,166.5,3.97,0,0.42,3.73,,,,,,,,,,
11/07/2019,221.53,10.51,16.27,0.29,5.66,,,,,,,,,,
12/07/2019,178.96,11.39,15.94,0.33,5.01,,,,,,,,,,
13/07/2019,142.29,8.74,14.54,0.33,3.5,,,,,,,,,,
14/07/2019,175.1,0.02,34.57,0.39,4.59,,,,,,,,,,
15/07/2019,194.04,62.05,47.1,0.41,5.49,,,,,,,,,,
16/07/2019,129.11,5.78,14.65,0.32,5.2,,,,,,,,,,
17/07/2019,107.57,9.84,0,0.33,4.68,,,,,,,,,,
18/07/2019,140.97,11.64,11.53,0.27,2.93,,,,,,,,,,
19/07/2019,140.55,48.35,18.75,0.27,4.99,,,,,,,,,,
20/07/2019,136.16,0.03,16.92,0.35,3.7,,,,,,,,,,
21/07/2019,223.29,95.91,35.06,0.24,5.4,,,,,,,,,,
22/07/2019,172.97,39.83,42.9,0.27,1.99,,,,,,,,,,
23/07/2019,187.63,37.99,15.59,0.26,7.91,,,,,,,,,,
24/07/2019,170.88,5.63,0,0.24,3.87,,,,,,,,,,
25/07/2019,99.29,0.03,0,0.24,2.86,,,,,,,,,,
26/07/2019,199.94,60.97,28.35,0.27,7.65,,,,,,,,,,
27/07/2019,128.14,11.18,16.89,0.24,0.6,,,,,,,,,,
28/07/2019,133.54,9.95,35.97,0.24,6.73,,,,,,,,,,
29/07/2019,149.46,76.86,39.64,0.27,3.84,,,,,,,,,,
30/07/2019,110.56,48.02,0,0.21,4.52,,,,,,,,,,
31/07/2019,93.84,6.04,0,0.21,6.18,,,,,,,,,,
1/08/2019,120.87,0.03,0,0.23,3.77,,,,,,,,,,
2/08/2019,143,11.91,18.37,0.29,6.77,,,,,,,,,,
3/08/2019,316.17,0.04,18.83,0.26,4.69,,,,,,,,,,
4/08/2019,319.52,13.55,35.1,0.25,3.23,,,,,,,,,,
5/08/2019,191.11,63.43,40.11,0.49,5.6,,,,,,,,,,
6/08/2019,130.93,99.28,14.29,0.27,6.3,,,,,,,,,,
7/08/2019,156.2,105.08,24.17,0.32,4.85,,,,,,,,,,
8/08/2019,146.23,76.65,36.13,0.36,3.97,,,,,,,,,,
9/08/2019,200.54,133.41,64.81,0.14,2.25,,,,,,,,,,
10/08/2019,170.83,155.03,58.02,0.23,5.7,,,,,,,,,,
11/08/2019,179.14,54.76,66.65,0.26,3.55,,,,,,,,,,
12/08/2019,186.16,53.55,55.03,0.27,2.62,,,,,,,,,,
13/08/2019,92.98,9.33,66,0.28,6.18,,,,,,,,,,
14/08/2019,77.72,0,50.1,0.3,3.73,,,,,,,,,,
15/08/2019,241.3,16.68,72.15,0.29,5.73,,,,,,,,,,
16/08/2019,323.38,210.42,65.64,0.22,3.63,,,,,,,,,,
17/08/2019,183.86,218.74,80.25,0.23,5.52,,,,,,,,,,
18/08/2019,271.94,340.66,74.01,0.29,3.84,,,,,,,,,,
19/08/2019,264.84,372.73,72.01,0.24,3.78,,,,,,,,,,
20/08/2019,234.75,236.53,73.19,0.17,3.57,,,,,,,,,,
21/08/2019,252.3,167.25,58.19,0.26,5.11,,,,,,,,,,
22/08/2019,264.23,272.99,68.15,0.26,3.97,,,,,,,,,,
23/08/2019,180.04,245.18,65.89,0.31,3.53,,,,,,,,,,
24/08/2019,251.3,308,76.16,0.24,7.52,,,,,,,,,,
25/08/2019,228.53,302.81,76.49,0.25,6.25,,,,,,,,,,
26/08/2019,119.7,170.5,58.7,0.4,8.9,,,,,,,,,,
27/08/2019,79.16,167.78,55.26,0.25,7.11,,,,,,,,,,
28/08/2019,112.8,100.34,44.29,0.27,4.12,,,,,,,,,,
29/08/2019,140.75,100.41,69.08,0.36,6.17,,,,,,,,,,
30/08/2019,123.71,218.61,61.97,0.15,4.82,,,,,,,,,,
31/08/2019,195.26,241.39,70.06,0.23,5.53,,,,,,,,,,
1/09/2019,257.99,288.39,66.69,0.4,2.07,,,,,,,,,,
2/09/2019,173.56,247.48,65.46,0.39,3.67,,,,,,,,,,
3/09/2019,181.65,271.02,63.98,0.18,6.22,,,,,,,,,,
4/09/2019,137.4,165.61,65.22,0.27,5.71,,,,,,,,,,
5/09/2019,130.35,197.2,65.07,0.23,4.01,,,,,,,,,,
6/09/2019,255.3,305.93,70.03,0.25,4.76,,,,,,,,,,
7/09/2019,283.81,371.71,74.37,0.23,3.82,,,,,,,,,,
8/09/2019,268.99,374.29,65.56,0.32,4.16,,,,,,,,,,
9/09/2019,200.66,352.49,82.44,0.27,4.01,,,,,,,,,,
10/09/2019,185.68,130.7,67.55,0.31,4.83,,,,,,,,,,
11/09/2019,142.5,157.46,64.97,0.3,5.25,,,,,,,,,,
12/09/2019,265.1,359.28,65.47,0.43,4.21,,,,,,,,,,
13/09/2019,261.47,278.26,65.32,0.26,4.86,,,,,,,,,,
14/09/2019,213.79,217.1,85.06,0.44,2.94,,,,,,,,,,
15/09/2019,250.01,314.3,74.78,0.4,7.28,,,,,,,,,,
16/09/2019,279.11,356.46,67.36,0.4,6.84,,,,,,,,,,
17/09/2019,240.21,141.55,73.81,0.25,5.61,,,,,,,,,,
18/09/2019,203.81,130.56,65.2,0.32,4.99,,,,,,,,,,
19/09/2019,95.18,232.57,64.63,0.29,4.14,,,,,,,,,,
20/09/2019,97.37,273.38,64.98,0.4,7.79,,,,,,,,,,
21/09/2019,66.65,227.39,65.17,0.3,4.28,,,,,,,,,,
22/09/2019,93.04,238.14,65.26,0.31,4.19,,,,,,,,,,
23/09/2019,0.11,293.38,66.29,0.34,8.46,,,,,,,,,,
24/09/2019,0.08,181.17,0,0.3,5.05,,,,,,,,,,
25/09/2019,0.12,99.24,0,0.33,5.62,,,,,,,,,,
