"Time","A5030504","A5030504","A5030504"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
28/02/1974 00:00,       1.307,       1.130,       0.987
01/03/1974 00:00,       0.987,       0.920,       0.864
02/03/1974 00:00,       0.864,       0.842,       0.790
03/03/1974 00:00,       0.790,       0.730,       0.691
04/03/1974 00:00,       0.691,       0.691,       0.691
05/03/1974 00:00,       0.691,       0.650,       0.605
06/03/1974 00:00,       0.605,       0.593,       0.551
07/03/1974 00:00,       0.551,       0.523,       0.518
08/03/1974 00:00,       0.518,       0.518,       0.518
09/03/1974 00:00,       0.518,       0.492,       0.437
10/03/1974 00:00,       0.437,       0.432,       0.432
11/03/1974 00:00,       0.432,       0.412,       0.361
12/03/1974 00:00,       0.361,       0.345,       0.323
13/03/1974 00:00,       0.323,       0.276,       0.259
14/03/1974 00:00,       0.259,       0.220,       0.148
15/03/1974 00:00,       0.148,       0.043,       0.000
16/03/1974 00:00,       0.000,       0.000,       0.000
17/03/1974 00:00,       0.000,       0.000,       0.000
18/03/1974 00:00,       0.000,       0.000,       0.000
19/03/1974 00:00,       0.000,       0.000,       0.000
20/03/1974 00:00,       0.000,       0.000,       0.000
21/03/1974 00:00,       0.000,       0.000,       0.000
22/03/1974 00:00,       0.000,       0.000,       0.000
23/03/1974 00:00,       0.000,       0.000,       0.000
24/03/1974 00:00,       0.000,       0.000,       0.000
25/03/1974 00:00,       0.000,       0.000,       0.000
26/03/1974 00:00,       0.000,       0.000,       0.000
27/03/1974 00:00,     385.430,     169.017,       0.000
28/03/1974 00:00,      68.945,      42.172,      24.786
29/03/1974 00:00,      24.786,      18.501,      13.389
30/03/1974 00:00,      13.389,      11.423,       9.592
31/03/1974 00:00,       9.592,       7.640,       6.527
01/04/1974 00:00,       6.527,       6.277,       6.014
02/04/1974 00:00,       6.014,       5.344,       4.715
03/04/1974 00:00,       4.715,       4.520,       4.406
04/04/1974 00:00,       4.579,       4.522,       4.410
05/04/1974 00:00,       8.035,       5.601,       4.493
06/04/1974 00:00,      44.842,      18.647,       8.035
07/04/1974 00:00,      69.811,      48.351,      35.562
08/04/1974 00:00,      35.562,      30.875,      26.082
09/04/1974 00:00,      32.659,      25.940,      19.520
10/04/1974 00:00,      19.520,      17.338,      16.502
11/04/1974 00:00,     111.370,      68.816,      18.230
12/04/1974 00:00,     110.367,      77.840,      55.879
13/04/1974 00:00,      55.879,      45.092,      35.920
